label,no. births
Port Phillip,"1,314"
Port Phillip,"1,222"
Port Phillip,"1,127"
Port Phillip,"1,089"
Port Phillip,-
Port Phillip,-
Pyrenees,-
Pyrenees,-
Pyrenees,56
Pyrenees,57
Pyrenees,59
Pyrenees,68
Pyrenees,54
Pyrenees,-
Pyrenees,-
Queenscliffe,-
Queenscliffe,-
Queenscliffe,17
Queenscliffe,18
Queenscliffe,16
Queenscliffe,12
Queenscliffe,21
Queenscliffe,-
Queenscliffe,-
South Gippsland,-
South Gippsland,-
South Gippsland,282
South Gippsland,289
South Gippsland,267
South Gippsland,247
South Gippsland,257
South Gippsland,-
South Gippsland,-
Southern Grampians,-
Southern Grampians,-
Southern Grampians,193
Southern Grampians,177
Southern Grampians,164
Southern Grampians,169
Southern Grampians,178
Southern Grampians,-
Southern Grampians,-
Stonnington,-
Stonnington,-
Stonnington,"1,187"
Stonnington,"1,035"
Stonnington,"1,033"
Stonnington,898
Stonnington,998
Stonnington,-
Stonnington,-
Strathbogie,-
Strathbogie,-
Strathbogie,93
Strathbogie,95
Strathbogie,92
Strathbogie,82
Strathbogie,115
Strathbogie,-
Strathbogie,-
Surf Coast,-
Surf Coast,-
Surf Coast,344
Surf Coast,391
Surf Coast,372
Surf Coast,360
Surf Coast,450
Surf Coast,-
Surf Coast,-
Swan Hill,-
Swan Hill,-
Swan Hill,324
Swan Hill,307
Swan Hill,273
Swan Hill,304
Swan Hill,288
Swan Hill,-
Swan Hill,-
Towong,-
Towong,-
Towong,60
Towong,42
Towong,42
Towong,44
Towong,55
Towong,-
Towong,-
Wangaratta,-
Wangaratta,-
Wangaratta,333
Wangaratta,292
Wangaratta,293
Wangaratta,285
Wangaratta,300
Wangaratta,-
Wangaratta,-
Warrnambool,-
Warrnambool,-
Warrnambool,346
Warrnambool,399
Warrnambool,359
Warrnambool,366
Warrnambool,357
Warrnambool,-
Warrnambool,-
Wellington,-
Wellington,-
Wellington,511
Wellington,475
Wellington,479
Wellington,440
Wellington,459
Wellington,-
Wellington,-
West Wimmera,-
West Wimmera,-
West Wimmera,46
West Wimmera,53
West Wimmera,40
West Wimmera,55
West Wimmera,42
West Wimmera,-
West Wimmera,-
Whitehorse,-
Whitehorse,-
Whitehorse,"1,858"
Whitehorse,"1,647"
Whitehorse,"1,600"
Whitehorse,"1,471"
Whitehorse,"1,381"
Whitehorse,-
Whitehorse,-
Whittlesea,-
Whittlesea,-
Whittlesea,"3,652"
Whittlesea,"3,429"
Whittlesea,"3,320"
Whittlesea,"3,146"
Whittlesea,"3,162"
Whittlesea,-
Whittlesea,-
Wodonga,-
Wodonga,-
Wodonga,574
Wodonga,578
Wodonga,572
Wodonga,510
Wodonga,559
Wodonga,-
Wodonga,-
Wyndham,-
Wyndham,-
Wyndham,"4,824"
Wyndham,"4,883"
Wyndham,"4,954"
Wyndham,"4,864"
Wyndham,"4,823"
Wyndham,-
Wyndham,-
Yarra,-
Yarra,-
Yarra,"1,163"
Yarra,"1,128"
Yarra,"1,057"
Yarra,961
Yarra,964
Yarra,-
Yarra,-
Yarra Ranges,-
Yarra Ranges,-
Yarra Ranges,"1,905"
Yarra Ranges,"1,911"
Yarra Ranges,"1,875"
Yarra Ranges,"1,730"
Yarra Ranges,"1,896"
Yarra Ranges,-
Yarra Ranges,-
Yarriambiack,-
Yarriambiack,-
Yarriambiack,64
Yarriambiack,63
Yarriambiack,47
Yarriambiack,69
Yarriambiack,57
Yarriambiack,-
Yarriambiack,-
Unincorporated Vic,-
Unincorporated Vic,-
Unincorporated Vic,4
Unincorporated Vic,3
Unincorporated Vic,6
Unincorporated Vic,-
Unincorporated Vic,3
Unincorporated Vic,-
Unincorporated Vic,-
