suburb,births,birth_rate
Tarneit (West) - Mount Cottrell,355,2.30
Tarneit - Central,508,1.84
Tarneit - North,262,2.11
Tarneit - South,175,1.91
Truganina - North,279,2.20
Truganina - South East,207,2.12
Truganina - South West,363,2.21
Wyndham Vale - North,256,2.06
Wyndham Vale - South,176,1.66
Wyndham,"5,378",1.85
Carrum Downs,354,1.80
Frankston,304,1.54
Frankston North,283,1.83
Frankston South,198,1.84
Langwarrin,318,1.77
Seaford (Vic.),250,1.91
Skye - Sandhurst,153,1.82
Frankston,"1,860",1.76
Dromana,115,1.59
Flinders,29,1.63
Hastings - Somers,245,1.86
Mount Eliza,120,1.90
Mount Martha,113,1.58
Point Nepean,137,1.82
Rosebud - McCrae,199,1.74
Somerville,230,1.90
Mornington - East,111,1.75
Mornington - West,81,1.57
Mornington Peninsula,"1,380",1.76
Alfredton,200,1.76
Ballarat,92,1.44
Buninyong,51,1.80
Delacombe,203,1.91
Smythes Creek,30,1.77
Wendouree - Miners Rest,207,1.87
Ballarat East - Warrenheip,96,1.53
Ballarat North - Invermay,153,1.68
Canadian - Mount Clear,141,1.49
Sebastopol - Redan,139,1.53
Ballarat,"1,312",1.67
Bacchus Marsh Surrounds,66,2.09
Creswick - Clunes,60,1.89
Daylesford,61,1.64
Gordon (Vic.),51,1.98
Creswick - Daylesford - Ballan,238,1.88
Avoca,17,1.93
Beaufort,35,1.70
Golden Plains - North,46,1.98
Maryborough (Vic.),60,1.66
Maryborough Surrounds,37,1.81
Maryborough - Pyrenees,195,1.78
Bendigo,147,1.48
California Gully - Eaglehawk,143,1.74
East Bendigo - Kennington,144,1.43
Flora Hill - Spring Gully,88,1.46
Kangaroo Flat - Golden Square,240,1.70
Maiden Gully,58,2.20
Strathfieldsaye,126,2.01
White Hills - Ascot,222,2.03
Bendigo,"1,168",1.70
Bendigo Surrounds - South,108,2.15
Castlemaine,79,1.63
Castlemaine Surrounds,73,1.87
Heathcote,41,2.12
Kyneton,86,1.58
Woodend,54,1.90
Heathcote - Castlemaine - Kyneton,441,1.83
Bendigo Surrounds - North,43,1.92
Loddon,60,1.97
