suburb,births,birth_rate,,
Melbourne CBD - East,56,0.45,,
Melbourne CBD - North,78,0.34,,
Melbourne CBD - West,74,0.38,,
Melbourne City,"1,087",0.65,,
Melton,91,1.86,,
Melton - Bacchus Marsh,"3,369",1.90,,
Melton South - Weir Views,365,2.21,,
Melton West,335,2.03,,
Mentone,142,1.34,,
Merbein,57,2.15,,
Mernda - North,174,1.68,,
Mernda - South,231,1.94,,
Mickleham - Yuroke,737,2.25,,
Mildura,662,1.81,,
Mildura - North,204,1.71,,
Mildura - South,217,1.80,,
Mildura Surrounds,32,1.82,,
Mill Park - North,183,1.41,,
Mill Park - South,109,1.50,,
Mitcham  ,166,1.41,,
Moe - Newborough,203,1.78,,
Moira,28,2.00,,
Moira,318,1.99,,
Monash,"1,521",1.14,,
Monbulk - Silvan,53,1.78,,
Montmorency - Briar Hill,200,1.79,,
Montrose,74,1.83,,
Moonee Ponds,141,1.05,,
Moorabbin - Heatherton,92,1.41,,
Moorabbin Airport,0,np,,
Mooroolbark,294,1.72,,
Mooroopna,83,1.68,,
Mordialloc - Parkdale,215,1.53,,
Moreland - North,"1,264",1.74,,
Mornington - East,111,1.75,,
Mornington - West,81,1.57,,
Mornington Peninsula,"1,380",1.76,,
Morwell,161,1.92,,
Mount Baw Baw Region,67,2.00,,
Mount Dandenong - Olinda,83,1.68,,
Mount Eliza,120,1.90,,
Mount Evelyn,141,1.89,,
Mount Martha,113,1.58,,
Mount Waverley - North,118,1.23,,
Mount Waverley - South,160,1.16,,
Moyne - East,82,2.20,,
Moyne - West,105,2.04,,
Mulgrave,184,1.42,,
Murray River - Swan Hill,430,2.08,,
Murrumbeena,95,1.26,,
Myrtleford,47,2.03,,
Nagambie,28,2.07,,
Narre Warren - North East,166,1.64,,
Narre Warren - South West,237,1.72,,
Narre Warren North,56,1.50,,
Narre Warren South - East,95,1.55,,
Narre Warren South - West,229,1.77,,
Newcomb - Moolap,145,1.40,,
Newport,281,1.84,,
Newtown  ,98,1.53,,
Nhill Region,74,2.24,,
Niddrie - Essendon West,86,1.62,,
Nillumbik - Kinglake,594,1.75,,
Noble Park - East,154,1.41,,
Noble Park - West,228,1.50,,
Noble Park North,79,1.61,,
Norlane,126,1.72,,
North Geelong - Bell Park,175,1.62,,
North Melbourne,115,0.75,,
Northcote - East,147,1.05,,
Northcote - West,90,0.84,,
Numurkah,149,1.86,,
Nunawading,135,1.38,,
Oak Park,119,1.49,,
Oakleigh - Huntingdale,241,1.32,,
Ocean Grove,200,1.76,,
Orbost,35,1.50,,
Ormond - Glen Huntly,136,1.18,,
Otway,34,1.57,,
Pakenham Upper,294,2.00,,
Pakenham ,148,1.95,,
Pakenham South,396,1.75,,
Panton Hill,51,2.02,,
Parkville,37,0.84,,
Pascoe Vale,246,1.48,,
Pascoe Vale South,104,1.41,,
Paynesville,37,1.65,,
Pearcedale - Tooradin,88,1.86,,
Phillip Island,84,1.56,,
Plenty - Yarrambat,78,1.45,,
Point Cook - East,308,1.85,,
Point Cook - North East,136,1.54,,
Point Cook - North West,135,1.53,,
Point Cook - South,285,1.68,,
Point Lonsdale - Queenscliff,37,2.14,,
Point Nepean,137,1.82,,
Port Melbourne,188,1.29,,
Port Melbourne Industrial,22,0.72,,
Port Phillip,"1,045",0.99,,
Portarlington,64,1.69,,
Portland,105,1.76,,
Prahran - Windsor,196,0.93,,
Preston,241,1.16,,
